tool_id,num_jobs,avg_runtime_seconds,median_runtime_seconds,p95_runtime_seconds,avg_allocated_memory_gb,median_allocated_memory_gb,p95_allocated_memory_gb,avg_job_cost,median_job_cost,p95_job_cost,avg_input_size_mb,median_input_size_mb,p95_input_size_mb
_dropletbarcodeplot,174,179,46,431,7.3,7.7,7.7,0.00272,0.00078,0.00733,65.6,2.5,371.5
_ensembl_gtf2gene_list,383,119,48,361,7.3,7.7,7.7,0.00193,0.00082,0.00598,924.2,989.0,1467.0
_salmon_kallisto_mtx_to_10x,105,150,79,594,6.3,7.7,7.7,0.00225,0.00131,0.00916,101.9,36.0,438.8
abims_anova,3,11,12,15,6.1,7.7,7.7,0.00017,0.00020,0.00025,1.0,1.0,1.0
abims_camera_annotatediffreport,8,72,60,131,7.7,7.7,7.7,0.00123,0.00101,0.00223,13.5,14.0,15.3
abims_xcms_fillpeaks,13,233,202,497,7.7,7.7,7.7,0.00396,0.00344,0.00847,14.4,14.0,33.6
abims_xcms_group,26,1192,888,4653,7.7,7.7,7.7,0.02029,0.01512,0.07920,13.6,13.0,46.8
abims_xcms_retcor,13,483,465,1308,7.7,7.7,7.7,0.00823,0.00791,0.02227,14.3,14.0,33.2
abims_xcms_summary,7,122,51,362,7.7,7.7,7.7,0.00207,0.00087,0.00617,12.1,12.0,12.7
abims_xcms_xcmsset,234,2053,425,5809,7.7,7.7,7.7,0.03495,0.00723,0.09887,1.0,1.0,1.0
abricate,252214,39,19,77,8.7,7.7,7.7,0.00070,0.00032,0.00138,8.0,4.0,7.0
abricate_summary,1533,30,11,101,6.9,7.7,7.7,0.00048,0.00019,0.00160,9.6,1.0,13.4
acpype_amber2gromacs,4,16,14,23,6.5,7.7,7.7,0.00026,0.00025,0.00040,12.0,10.0,24.7
add_a_column1,207488,23,10,48,7.6,7.7,7.7,0.00039,0.00017,0.00082,14.6,1.0,2.0
add_line_to_file,1357,22,11,75,7.5,7.7,7.7,0.00037,0.00019,0.00123,25.3,1.0,7.0
addname,10521,19,10,62,7.5,7.7,7.7,0.00031,0.00017,0.00099,3.6,1.0,2.0
addvalue,7704,56,14,158,7.5,7.7,7.7,0.00095,0.00024,0.00269,327.4,9.0,1269.7
aegean_parseval,45,31,12,141,6.6,7.7,7.7,0.00050,0.00020,0.00219,578.9,11.0,2182.6
aggregate_scores_in_intervals2,140,746,690,1519,7.6,7.7,7.7,0.01269,0.01174,0.02586,421.9,510.0,814.3
alevin,250,4158,2132,16361,25.7,29.9,94.2,0.24292,0.04581,0.96758,4659.0,435.0,30758.2
align_families,185,27195,13810,103668,27.9,30.7,30.7,2.19093,1.08821,8.36479,5372.5,3806.0,14019.0
allele_counts_1,2200,77,10,122,7.6,7.7,7.7,0.00131,0.00017,0.00208,120.0,1.0,192.3
alleyoop,17,13410,8060,32747,24.2,30.7,30.7,1.22093,0.84129,2.88153,2670.1,2694.0,7022.6
alphafold,3,10612,11106,15839,48.0,48.0,48.0,1.71775,1.79765,2.56377,1.0,1.0,1.0
ambertools_acpype,261,260,119,736,7.6,7.7,7.7,0.00441,0.00192,0.01253,1.0,1.0,1.0
ambertools_antechamber,11,94,81,141,7.0,7.7,7.7,0.00153,0.00136,0.00240,1.0,1.0,1.0
anndata_export,130,523,59,2625,8.1,7.7,11.1,0.00902,0.00112,0.04468,122.2,24.5,622.6
anndata_import,1634,355,86,1218,7.4,7.7,7.7,0.00543,0.00145,0.01860,184.3,84.0,739.0
anndata_inspect,5117,181,21,522,8.0,7.7,7.7,0.00323,0.00036,0.00934,166.5,39.0,885.0
anndata_manipulate,4527,88,24,358,7.8,7.7,7.7,0.00197,0.00041,0.00644,318.0,99.0,1373.8
anndata_ops,217,134,59,388,6.8,7.7,7.7,0.00219,0.00085,0.00661,361.7,77.0,1114.0
annotatemyids,20459,101,49,243,14.5,15.4,15.4,0.00241,0.00127,0.00600,2.4,1.0,4.0
annotation_profiler_0,2,37,37,45,3.8,3.8,3.8,0.00046,0.00046,0.00056,1.0,1.0,1.0
antismash,1757,3225,539,11902,42.4,30.7,92.2,0.35799,0.05042,1.33428,31.2,6.0,146.4
augustus,7889,5169,207,32547,8.8,7.7,30.7,0.09107,0.00391,0.59009,60.7,5.0,323.0
augustus_training,214,28386,23660,70026,7.6,7.7,7.7,0.48123,0.40239,1.19181,189.9,48.0,356.7
bacteria_tradis,2054,976,245,3219,7.3,7.7,7.7,0.01642,0.00408,0.05466,1953.3,431.5,5074.9
bam_to_sam,23530,94,16,392,7.5,7.7,7.7,0.00157,0.00027,0.00654,473.9,17.0,2457.1
bam_to_scidx,137,230,87,1171,7.5,7.7,7.7,0.00390,0.00148,0.01993,952.8,782.0,2582.2
bamfilter,44668,524,99,2286,7.5,7.7,7.7,0.00878,0.00165,0.03826,1303.5,249.0,5273.0
bamleftalign,20060,187,18,818,7.6,7.7,7.7,0.00313,0.00031,0.01328,367.2,24.0,1911.2
bamsplit,301,898,107,4967,7.5,7.7,7.7,0.01523,0.00182,0.08454,3636.5,353.0,20915.0
bamtools,28687,154,12,392,13.9,15.4,15.4,0.00296,0.00032,0.00738,231.5,8.0,787.0
bamtools_split,407,1179,169,5318,7.6,7.7,7.7,0.01995,0.00288,0.09051,5268.3,737.0,22679.0
bamtools_split_mapped,762,241,56,1303,6.4,7.7,7.7,0.00350,0.00090,0.01688,420.7,2.0,2569.9
bamtools_split_paired,85,1105,303,4999,7.3,7.7,7.7,0.01825,0.00384,0.08507,2202.4,566.0,8961.2
bamtools_split_ref,41,745,63,605,5.2,2.8,7.7,0.01251,0.00070,0.01030,1518.2,107.0,1716.0
bamtools_split_tag,34,301,222,614,7.4,7.7,7.7,0.00501,0.00377,0.00920,2024.4,1585.5,3952.2
bamutil_clip_overlap,43,480,484,1333,7.1,7.7,7.7,0.00817,0.00824,0.02268,1001.0,767.0,2771.8
bandage_image,9150,55,11,94,8.3,7.7,14.3,0.00106,0.00019,0.00180,19.8,2.0,13.0
bandage_info,2700,87,11,112,8.4,7.7,14.3,0.00159,0.00019,0.00218,50.1,4.0,62.0
